Transaction unique identifier,Price,Date of Transfer,Property Type,Old/New,Duration,Town/City,District,County,PPDCategory Type,Record Status - monthly file only
{BF1EB457-F8C8-48C9-BCD9-256970BCCC49},45000,1995-02-01 00:00,F,N,L,BIRMINGHAM,BIRMINGHAM,WEST MIDLANDS,A,A
{1427809B-FFF9-4607-9A88-2569793C7D63},47000,1995-08-08 00:00,T,N,F,HAVANT,HAVANT,HAMPSHIRE,A,A
{58E24C40-C83D-4D4D-B1B6-256980A9AE5C},49500,1995-08-25 00:00,S,N,F,SANDWICH,DOVER,KENT,A,A
{DA05CD1D-0685-4420-A4F2-256981DCA009},53500,1995-02-15 00:00,S,N,F,AYLESBURY,AYLESBURY VALE,BUCKINGHAMSHIRE,A,A
{C6D2302F-E0F4-449B-B6A2-1AB4FCE70CFA},32500,1995-09-20 00:00,T,N,L,WIGAN,WIGAN,GREATER MANCHESTER,A,A
{F3CBFE1E-F4BC-426F-BF0C-1AB51E89CC29},118000,1995-06-27 00:00,D,N,F,ADDLESTONE,RUNNYMEDE,SURREY,A,A
{15FD7383-4A6E-4320-A478-1AB530D9639C},134500,1995-09-29 00:00,D,Y,F,WETHERBY,LEEDS,WEST YORKSHIRE,A,A
{0D3CE1B1-AD6E-4C10-B2A7-1AB5370C4734},68000,1995-03-03 00:00,S,N,F,FOLKESTONE,SHEPWAY,KENT,A,A
{6DB12175-E179-4F0A-A120-21D486C3E9C0},47000,1995-12-08 00:00,S,N,F,BRISTOL,SOUTH GLOUCESTERSHIRE,SOUTH GLOUCESTERSHIRE,A,A
{BE45B9F5-7732-4E16-9AED-21D48C79D31C},108000,1995-07-24 00:00,S,N,F,SOUTH CROYDON,CROYDON,GREATER LONDON,A,A
{25902710-7498-452F-AE78-21D497F9A9A2},143000,1995-11-17 00:00,S,N,F,NEW MALDEN,MERTON,GREATER LONDON,A,A
{3FE9224E-8CB5-4399-A719-1E4322BA5A0A},82000,1995-08-21 00:00,D,N,F,KETTERING,KETTERING,NORTHAMPTONSHIRE,A,A
{20D28739-54EC-4A8F-81C5-1E4322DD9E5F},60000,1995-04-18 00:00,S,N,F,WEMBLEY,BRENT,GREATER LONDON,A,A
{4A645600-294B-44A9-A927-171E0171443B},35000,1995-01-25 00:00,F,Y,L,LANCING,ADUR,WEST SUSSEX,A,A
{01DC8003-42A7-47DE-A35B-171E174937CD},73000,1995-04-27 00:00,S,N,F,WOKINGHAM,WOKINGHAM,WOKINGHAM,A,A
{0CB954AF-9CA7-4A2A-9476-171E1BA845B3},48000,1995-02-17 00:00,S,N,F,TROWBRIDGE,WEST WILTSHIRE,WILTSHIRE,A,A
